T_mu,σ,ω₀,n_B,P,ϵ
"(62.52100840336135, 505.96169064704696)",92.87348170103786,0.04627850934184187,0.0005256160904295801,0.032715601256820284,0.2332260044882212
"(63.529411764705884, 505.96169064704696)",92.85543302708054,0.053069983858938956,0.0006027514246202395,0.03810158554397734,0.2668675442967951
"(64.53781512605042, 505.96169064704696)",92.83545834871153,0.060631777839664135,0.0006886357939594291,0.044196279725029944,0.3042270508267543
"(65.54621848739495, 505.96169064704696)",92.81342918082252,0.06902532536652445,0.0007839669465537204,0.0510694307964129,0.34558781089331053
"(66.5546218487395, 505.96169064704696)",92.78921563271699,0.07831481618622428,0.0008894739284433278,0.0587952794419231,0.3912444531797335
"(67.56302521008404, 505.96169064704696)",92.76268696527089,0.08856720933291577,0.0010059172383008155,0.06745268570838367,0.44150290083330535
"(68.57142857142857, 505.96169064704696)",92.73371216072354,0.09985224294661707,0.0011340889390050323,0.07712525230773189,0.4966803046153699
"(69.57983193277312, 505.96169064704696)",92.70216050152784,0.11224243894113134,0.0012748127105989796,0.08790144490407094,0.5571049494089334
"(70.58823529411765, 505.96169064704696)",92.66790214644838,0.12581310189158892,0.0014289438376806915,0.09987470936607401,0.6231161305865281
"(71.59663865546219, 505.96169064704696)",92.63080869751347,0.14064231117625747,0.0015973691201545742,0.11314358542904891,0.6950639951917453
"(72.60504201680672, 505.96169064704696)",92.59075374916947,0.15681090541357118,0.0017810066964642007,0.12781181670435401,0.7733093424923849
"(73.61344537815127, 505.96169064704696)",92.54761341004388,0.1744024582492908,0.001980805768622811,0.14398845631588816,0.8582233792199325
"(74.6218487394958, 505.96169064704696)",92.50126679203878,0.193503244546859,0.002197746218074437,0.16178796787941666,0.9501874242306791
"(75.63025210084034, 505.96169064704696)",92.45159645184914,0.21420219619757705,0.0024328381040787366,0.1813303212466985,1.0495925589635353
"(76.63865546218487, 505.96169064704696)",92.39848878963669,0.2365908466987928,0.0026871210339699846,0.2027410824628199,1.1568392188578742
"(77.64705882352942, 505.96169064704696)",92.34183438755824,0.2607632639910682,0.0029616634004828598,0.22615149746010602,1.272336723775684
"(78.65546218487395, 505.96169064704696)",92.28152828780502,0.28681597107246565,0.003257561480453012,0.25169856881699065,1.3965027452197127
"(79.66386554621849, 505.96169064704696)",92.21747022359412,0.3148478538852678,0.00357593838679868,0.27952512509069377,1.5297627067436401
"(80.67226890756304, 505.96169064704696)",92.14956474422087,0.3449600571637812,0.003917942889246263,0.30977988229759845,1.6725491258040166
"(81.68067226890757, 505.96169064704696)",92.07772132990688,0.37725586708163195,0.0042847480778249805,0.3426174968055346,1.8253008846474772
"(82.6890756302521, 505.96169064704696)",92.00185440118379,0.4118405823302359,0.00467754990044455,0.3781986095442569,1.988462446170594
"(83.69747899159664, 505.96169064704696)",91.92188328292936,0.448821373395449,0.0050975655642402536,0.4166898808229019,2.1624830102442645
"(84.70588235294119, 505.96169064704696)",91.83773210716076,0.48830713103115037,0.0055460318146560795,0.4582640156296814,2.3478156176960185
"(85.71428571428572, 505.96169064704696)",91.74932966362918,0.5304083047873136,0.006024203101149071,0.5030997793554743,2.5449162065030935
"(86.72268907563026, 505.96169064704696)",91.65660919709683,0.5752367328058406,0.006533349644767276,0.5513820032880671,2.7542426285666677
"(87.73109243697479, 505.96169064704696)",91.55950816791879,0.6229054639167588,0.007074755416875986,0.6033015805337676,2.9762536311031598
"(88.73949579831933, 505.96169064704696)",91.45796796795538,0.6735285736912126,0.007649716051219268,0.659055451786499,3.211407814458254
"(89.74789915966386, 505.96169064704696)",91.35193362487718,0.7272209753106645,0.0082595366914493,0.7188465815634899,3.460162566803515
"(90.7563025210084, 505.96169064704696)",91.24135344131727,0.7840982282227166,0.008905529825672838,0.7828839248628774,3.7229730018422535
"(91.76470588235293, 505.96169064704696)",91.12617866250069,0.8442763441050516,0.009589013076397436,0.8513823847418203,4.000290883028867
"(92.77310924369748, 505.96169064704696)",91.00636310375502,0.9078715935308559,0.010311307006001639,0.9245627612274538,4.292563564309876
"(93.78151260504201, 505.96169064704696)",90.8818627716216,0.9750003143279912,0.011073732941639347,1.0026516920173276,4.600232948908413
"(94.78991596638654, 505.96169064704696)",90.7526354889092,1.0457787231023863,0.011877610833002025,1.085881585663416,4.923734472249969
"(95.7983193277311, 505.96169064704696)",90.61864051391676,1.1203227318714708,0.012724257170802477,1.1744905478982908,5.263496122468741
"(96.80672268907563, 505.96169064704696)",90.47983816734373,1.1987477710973817,0.01361498297624923,1.2687223017792935,5.619937503014531
"(97.81512605042016, 505.96169064704696)",90.33618946513941,1.2811686206616855,0.014551091881535184,1.3688261025851007,5.993468946556961
"(98.8235294117647, 505.96169064704696)",90.18765576151769,1.3676992501238292,0.0155338783153844,1.4750566481497032,6.38449068660769
"(99.83193277310924, 505.96169064704696)",90.03419840403537,1.4584526694474225,0.016564625807826642,1.5876739857729902,6.7933920928906835
"(100.84033613445378, 505.96169064704696)",89.87577840349151,1.5535407912435508,0.017644605425482168,1.7069434163170019,7.220550975560013
"(101.84873949579831, 505.96169064704696)",89.7123561196986,1.6530743054389192,0.018775074348144235,1.8331353967275745,7.6663329624834855
"(102.85714285714285, 505.96169064704696)",89.5438909656799,1.7571625670011422,0.01995727459357203,1.9665254417218918,8.13109095234917
"(103.8655462184874, 505.96169064704696)",89.37034113080341,1.865913497241264,0.021192431897120972,2.1073940257260135,8.61516464586372
"(104.87394957983193, 505.96169064704696)",89.19166332838678,1.9794334987845355,0.022481754743851248,2.2560264858292114,9.118880153082035
"(105.88235294117646, 505.96169064704696)",89.00781256296276,2.097827384311053,0.02382643356104627,2.4127129268353342,9.642549679801176
"(106.89075630252101, 505.96169064704696)",88.81874192445221,2.2211983185265898,0.025227640061368566,2.5777481290995885,10.186471287385622
"(107.89915966386555, 505.96169064704696)",88.6244024159367,2.3496477727382548,0.02668652672173685,2.75143145996025,10.750928717667321
"(108.90756302521008, 505.96169064704696)",88.42474280708684,2.4832754910086816,0.028204226402414028,2.9340667895815273,11.336191284375953
"(109.91596638655462, 505.96169064704696)",88.21970952636929,2.622179466396852,0.0297818520763386,3.125962411662987,11.942513815481556
"(110.92436974789916, 505.96169064704696)",88.00924659215582,2.766455925334546,0.0314204966539889,3.3274309696525286,12.570136638369574
"(111.9327731092437, 505.96169064704696)",87.79329559226647,2.916199318315891,0.03312123286845842,3.538789388701463,13.219285589738298
"(112.94117647058823, 505.96169064704696)",87.57179570754538,3.0715023127901504,0.03488511321039597,3.7603588137096224,13.890172044635952
"(113.94957983193277, 505.96169064704696)",87.34468380166726,3.2324557874276416,0.03671316984140594,3.9924645533588343,14.582992928611093
"(114.95798319327731, 505.96169064704696)",87.11189457088484,3.399148819068488,0.038606414477825104,4.235436030173859,15.297930708847161
"(115.96638655462185, 505.96169064704696)",86.87336077359707,3.571668665123761,0.04056583815621695,4.489606735995283,16.03515332003873
"(116.97478991596638, 505.96169064704696)",86.62901354138452,3.7501007285578956,0.04259241085536678,4.755314192462316,16.7948140126527
"(117.98319327731092, 505.96169064704696)",86.37878278859012,3.934528504482164,0.04468708088529121,5.032899915387061,17.577051079416215
"(118.99159663865547, 505.96169064704696)",86.12259773070232,4.125033499961779,0.046850773976433314,5.322709382028008,18.381987427210866
"(120.0, 505.96169064704696)",85.86038752514048,4.321695120011446,0.04908439198494769,5.6250919994589,19.209729953627594
"(0.0, 511.79020697643614)",93.00000000000904,0.0,0.0,7.943778454913594e-12,-7.943778454913594e-12
"(1.0084033613445378, 511.79020697643614)",93.00000000000774,8.718961586381922e-186,9.902709847100004e-188,7.943778454913594e-12,-7.943778454913594e-12
"(2.0168067226890756, 511.79020697643614)",93.00000000000774,2.4396239101601982e-93,2.7708446101989422e-95,7.943778454913594e-12,-7.943778454913594e-12
"(3.0252100840336134, 511.79020697643614)",93.00000000000774,2.0754940854340713e-62,2.357277929671224e-64,7.943778454913594e-12,-7.943778454913594e-12
"(4.033613445378151, 511.79020697643614)",93.00000000000774,6.883275985756875e-47,7.817798508282901e-49,7.943778454913594e-12,-7.943778454913594e-12
"(5.04201680672269, 511.79020697643614)",93.00000000000774,1.5256927968497285e-37,1.7328317062964397e-39,7.943778454913594e-12,-7.943778454913594e-12
"(6.050420168067227, 511.79020697643614)",93.00000000000774,2.729392930145324e-31,3.099954734047806e-33,7.943778454913594e-12,-7.943778454913594e-12
"(7.0588235294117645, 511.79020697643614)",93.00000000000774,8.280160538803307e-27,9.404334047121539e-29,7.943778454913594e-12,-7.943778454913546e-12
"(8.067226890756302, 511.79020697643614)",93.00000000000774,1.9561728474209974e-23,2.221756791410515e-25,7.943778454913594e-12,-7.943778454799887e-12
"(9.07563025210084, 511.79020697643614)",93.00000000000774,8.402366311626736e-21,9.543131345160563e-23,7.943778454913594e-12,-7.943778406072783e-12
"(10.08403361344538, 511.79020697643614)",93.00000000000904,0.0,1.2402578858880765e-20,7.943778454913594e-12,-7.943772107395192e-12
"(11.092436974789916, 511.79020697643614)",93.00000000000904,0.0,6.746686753242108e-19,7.943778454913594e-12,-7.94343316609261e-12
"(12.100840336134453, 511.79020697643614)",93.00000000000904,0.0,1.907616944434287e-17,7.943778454913594e-12,-7.934015458205357e-12
"(13.109243697478991, 511.79020697643614)",92.99999999999672,2.868288345424366e-14,3.2577075791741434e-16,7.943778454913594e-12,-7.777052171292171e-12
"(14.117647058823529, 511.79020697643614)",93.00000000000904,0.0,3.7409172633512576e-15,7.943778454913594e-12,-6.02921363442133e-12
"(15.126050420168067, 511.79020697643614)",93.00000000000904,0.0,3.125508591892211e-14,8.440264608345693e-12,7.555782283165751e-12
"(16.134453781512605, 511.79020697643614)",93.00000000000904,0.0,2.0157816844779826e-13,1.1170938452222241e-11,9.199479409960733e-11
"(17.142857142857142, 511.79020697643614)",93.00000000000904,0.0,1.0500865936599525e-12,2.5941401516827204e-11,5.114826335955806e-10
"(18.15126050420168, 511.79020697643614)",93.00000000000904,0.0,4.577084780600994e-12,9.098108761643225e-11,2.2515260795960466e-9
"(19.159663865546218, 511.79020697643614)",92.9999999955147,1.5113227256021699e-9,1.716510651938537e-11,3.328939658762228e-10,8.452039452452591e-9
"(20.16806722689076, 511.79020697643614)",92.99999998524743,4.986649976607454e-9,5.66367305758336e-11,1.1502342959638169e-9,2.783588976791071e-8
"(21.176470588235297, 511.79020697643614)",92.99999995642276,1.4740645637712544e-8,1.6741940569633784e-10,3.553351400113537e-9,8.213026089308713e-8
"(22.18487394957983, 511.79020697643614)",92.99999988309621,3.9620496818680504e-8,4.4999657367708177e-10,9.9870672193634e-9,2.2031677236151736e-7
"(23.19327731092437, 511.79020697643614)",92.99999971120498,9.802687012187326e-8,1.1133569547349303e-9,2.582236896154186e-8,5.439828173409028e-7
"(24.201680672268907, 511.79020697643614)",92.99999933654101,2.2554626367039053e-7,2.5616802919414463e-9,6.199697070829642e-8,1.2490459161118735e-6
"(25.210084033613445, 511.79020697643614)",92.99999857038324,4.867749764110749e-7,5.5286301062600125e-9,1.3938116440529884e-7,2.690117581973669e-6
"(26.218487394957982, 511.79020697643614)",92.99999708926224,9.9263260535561e-7,1.1273994704669548e-8,2.9559507123502124e-7,5.474325012119052e-6
"(27.22689075630252, 511.79020697643614)",92.99999436556384,1.92449254000934e-6,2.1857753400583593e-8,5.951226851698398e-7,1.0591461451754738e-5
"(28.235294117647058, 511.79020697643614)",92.99998957486565,3.5663835930766026e-6,4.0505812045899476e-8,1.1436935873785023e-6,1.9586784343341014e-5
"(29.243697478991596, 511.79020697643614)",92.9999814775391,6.346342316366304e-6,7.207966903636181e-8,2.1078761516636344e-6,3.478179258324899e-5
"(30.252100840336134, 511.79020697643614)",92.99996827249396,1.0887733225630213e-5,1.2365929355036597e-7,3.740945962514012e-6,5.954666947818766e-5
"(31.260504201680675, 511.79020697643614)",92.99994742195335,1.807102632290419e-5,2.05244774330876e-7,6.416028624155383e-6,9.862623691147557e-5
"(32.26890756302521, 511.79020697643614)",92.99991544756732,2.910615497733893e-5,3.305781366818044e-7,1.0667342989437609e-5,0.00015851931000482767
