T_mu,σ,ω₀,n_B,P,ϵ
"(89.74789915966386, 537.2349499457682)",90.7290859838531,1.0521771760423262,0.01195028235731422,1.0312103943988606,5.388898949670642
"(90.7563025210084, 537.2349499457682)",90.58812868784813,1.1303767784896248,0.012838447725992595,1.1190372697115802,5.778225551743414
"(91.76470588235293, 537.2349499457682)",90.44196454134773,1.21279393082346,0.013774514639373684,1.212655266925388,6.187495415885785
"(92.77310924369748, 537.2349499457682)",90.29055636176214,1.2995544907864853,0.014759912548215877,1.312328395552389,6.617212483492284
"(93.78151260504201, 537.2349499457682)",90.13386769627532,1.3907829318635712,0.015796055183500253,1.4183262836887962,7.0678666321595545
"(94.78991596638654, 537.2349499457682)",89.97186248885818,1.4866020702622407,0.016884338393957303,1.5309240419550099,7.539932649990054
"(95.7983193277311, 537.2349499457682)",89.80450433797179,1.5871332986934115,0.01802613807821074,1.6504021243144136,8.033869263848642
"(96.80672268907563, 537.2349499457682)",89.63175678598766,1.6924955968608377,0.019222808658708235,1.7770461870644794,8.550118460513719
"(97.81512605042016, 537.2349499457682)",89.45358224249281,1.802806306545454,0.0204756812667864,1.9111469471649405,9.089104653302556
"(98.8235294117647, 537.2349499457682)",89.26994272417237,1.9181802676645585,0.021786061952354163,2.053000041230759,9.651233861257635
"(99.83193277310924, 537.2349499457682)",89.08079754993095,2.038730631714967,0.02315523208015402,2.202905886261802,10.236894061302388
"(100.84033613445378, 537.2349499457682)",88.88610579005896,2.1645674195651528,0.024584445587055262,2.3611695432783275,10.84645385112777
"(101.84873949579831, 537.2349499457682)",88.68582366292229,2.2957989440370747,0.026074929480482244,2.528100584838494,11.48026284944782
"(102.85714285714285, 537.2349499457682)",88.47990614449627,2.43253055814674,0.02762788247293984,2.704012967300417,12.138651090156985
"(103.8655462184874, 537.2349499457682)",88.26830555179338,2.574865468292548,0.02924447526395369,2.8892249086687043,12.821929295951714
"(104.87394957983193, 537.2349499457682)",88.05097215748359,2.72290415701457,0.030925850153715417,3.084058772536966,13.530388786824664
"(105.88235294117646, 537.2349499457682)",87.82785417828104,2.876744693931505,0.0326731202194522,3.2888409586180822,14.264301147051388
"(106.89075630252101, 537.2349499457682)",87.59889721615826,3.0364825829131217,0.03448737071093055,3.5039018000030944,15.02391907764483
"(107.89915966386555, 537.2349499457682)",87.36404532996745,3.2022107769276187,0.03636965701431854,3.7295754671499686,15.809475398482208
"(108.90756302521008, 537.2349499457682)",87.12324049559798,3.3740196786915093,0.03832100596655342,3.9661998782847263,16.62118384402808
"(109.91596638655462, 537.2349499457682)",86.87642281837459,3.551997166410686,0.04034241576985236,4.214116615639885,17.45923910116812
"(110.92436974789916, 537.2349499457682)",86.6235316757858,3.736228450631207,0.04243485407361192,4.4736708465616895,18.323815857631196
"(111.9327731092437, 537.2349499457682)",86.36450606289708,3.9267959907651435,0.044599257551235366,4.745211248293459,19.2150686498629
"(112.94117647058823, 537.2349499457682)",86.0992841869876,4.123779624575075,0.04683653287225809,5.029089934600263,20.13313245866064
"(113.94957983193277, 537.2349499457682)",85.82780545029063,4.327256190489439,0.049147552803951805,5.325662382302505,21.078120688285544
"(114.95798319327731, 537.2349499457682)",85.55001119542041,4.537299386885282,0.05153315432560317,5.635287355094712,22.050124229568258
"(115.96638655462185, 537.2349499457682)",85.26584581812216,4.75397949741066,0.05399413578675502,5.9583268215614,23.04921001520095
"(116.97478991596638, 537.2349499457682)",84.97525736409527,4.977363234602703,0.05653125482500765,6.295145863984974,24.075419992299476
"(117.98319327731092, 537.2349499457682)",84.67820023689097,5.207513077281421,0.059145221018372024,6.646112573816162,25.128767279520332
"(118.99159663865547, 537.2349499457682)",84.37463645911403,5.444486849757068,0.061836691221536746,7.011597929359554,26.209233783854664
"(120.0, 537.2349499457682)",84.06453720686869,5.6883372339819,0.06460626367116531,7.391975650616571,27.316767178945028
"(0.0, 538.9971164872729)",92.99999978193352,0.0,0.0,7.943778454913594e-12,-7.943778454913594e-12
"(1.0084033613445378, 538.9971164872729)",92.99999978193352,0.0,5.163338745695591e-176,7.943778454913594e-12,-7.943778454913594e-12
"(2.0168067226890756, 538.9971164872729)",92.99999978193352,0.0,2.001198328783259e-89,7.943778454913594e-12,-7.943778454913594e-12
"(3.0252100840336134, 538.9971164872729)",92.99999978193352,0.0,1.8975470002705926e-60,7.943778454913594e-12,-7.943778454913594e-12
"(4.033613445378151, 538.9971164872729)",92.99999978193352,0.0,6.643869150875777e-46,7.943778454913594e-12,-7.943778454913594e-12
"(5.04201680672269, 538.9971164872729)",92.99999978193352,0.0,3.821427556531621e-37,7.943778454913594e-12,-7.943778454913594e-12
"(6.050420168067227, 538.9971164872729)",92.99999978193352,0.0,2.781290737780634e-31,7.943778454913594e-12,-7.943778454913594e-12
"(7.0588235294117645, 538.9971164872729)",92.99999978193352,0.0,4.438483986747579e-27,7.943778454913594e-12,-7.943778454911201e-12
"(8.067226890756302, 538.9971164872729)",92.99999978193352,0.0,6.4768643951219675e-24,7.943778454913594e-12,-7.943778451422583e-12
"(9.07563025210084, 538.9971164872729)",92.99999978193352,0.0,1.912574100137639e-21,7.943778454913594e-12,-7.943777424041668e-12
"(10.08403361344538, 538.9971164872729)",92.99999970073756,1.621649670290663e-17,1.8418177683266006e-19,7.943778454913594e-12,-7.943679181466971e-12
"(11.092436974789916, 538.9971164872729)",93.00000000000296,6.902628460031485e-16,7.839778412239567e-18,7.943778454913594e-12,-7.939552836955498e-12
"(12.100840336134453, 538.9971164872729)",92.99999978193352,0.0,1.8069107902281572e-16,7.943778454913594e-12,-7.846386484345321e-12
"(13.109243697478991, 538.9971164872729)",92.99999970071005,2.285372489199134e-13,2.5956520742548734e-15,7.943778454913594e-12,-6.544729471486009e-12
"(14.117647058823529, 538.9971164872729)",92.99999978193352,0.0,2.569990163970541e-14,8.316143069987669e-12,5.536029807820085e-12
"(15.126050420168067, 538.9971164872729)",92.99999978193352,0.0,1.8883269919582253e-13,1.0798573837148167e-11,9.098170652790876e-11
"(16.134453781512605, 538.9971164872729)",92.99999970048124,9.582710515480964e-11,1.0883730640285378e-12,2.5444915363395105e-11,5.611850278104048e-10
"(17.142857142857142, 538.9971164872729)",92.99999978193352,0.0,5.134296761803217e-12,9.594594915075325e-11,2.6714252006511234e-9
"(18.15126050420168, 538.9971164872729)",92.99999978193352,0.0,2.0490516322261895e-11,3.798119073755562e-10,1.0664517305659005e-8
"(19.159663865546218, 538.9971164872729)",92.99999998145687,6.252590150158343e-9,7.101486276318905e-11,1.3685640819355826e-9,3.690824217516272e-8
"(20.16806722689076, 538.9971164872729)",92.99999978193352,0.0,2.1825587209748336e-10,4.409790014783909e-9,1.1322949570217467e-7
"(21.176470588235297, 538.9971164872729)",92.99999984255797,5.3270394808760564e-8,6.050276262843352e-10,1.2816293564696219e-8,3.132918523976999e-7
