T_mu,sigma,omega,n_B,P,epsilon
"(63.03030303030304, 932.8859060402685)",58.07785773289124,30.539842632902285,0.30547166201486087,31.71207049153139,253.25813769682878
"(64.24242424242425, 932.8859060402685)",57.91765015822356,30.86097622971025,0.30868377129713725,32.80897380875851,255.15776585769842
"(65.45454545454545, 932.8859060402685)",57.75662098946094,31.184859320070927,0.3119233741983373,33.92699010554554,257.06192944860805
"(66.66666666666667, 932.8859060402685)",57.59472577837779,31.511511215889673,0.3151906762567611,35.06634424928041,258.9705953459531
"(67.87878787878788, 932.8859060402685)",57.431927986274154,31.84094851074023,0.31848583917271683,36.22726498935951,260.8836856482757
"(69.0909090909091, 932.8859060402685)",57.268195947010035,32.17318567345369,0.32180900757827136,37.40998594021814,262.80110166635717
"(70.3030303030303, 932.8859060402685)",57.10350163974254,32.508234848429346,0.32516030274929625,38.61474420398418,264.72271943462107
"(71.51515151515152, 932.8859060402685)",56.93782403021634,32.8461053207513,0.328539817811245,39.84178014059138,266.6483854685567
"(72.72727272727273, 932.8859060402685)",56.771146426951226,33.18680392290679,0.3319476208374163,41.091336841588536,268.5779201812361
"(73.93939393939394, 932.8859060402685)",56.60345739193296,33.53033474559869,0.3353837527014184,42.36365973658138,270.5111162734667
"(75.15151515151516, 932.8859060402685)",56.43475048049404,33.876699146382265,0.3388482272858382,43.65899610701664,272.4477394146714
"(76.36363636363636, 932.8859060402685)",56.26502409689854,34.225895762364935,0.3423410309958024,44.97759464528515,274.3875282299936
"(77.57575757575758, 932.8859060402685)",56.094281334043764,34.57792053024471,0.3458621226431055,46.31970502813369,276.33019461879024
"(78.78787878787878, 932.8859060402685)",55.922529826503734,34.93276665511602,0.3494114348067356,47.68557750510335,278.2754254354084
"(80.0, 932.8859060402685)",55.74978153434391,35.29042470372475,0.35298887317288413,49.07546250274882,280.2228822692706
"(81.21212121212122, 932.8859060402685)",55.57605253451538,35.65088266412825,0.3565943169292516,50.489610245276864,282.1722021920787
"(82.42424242424242, 932.8859060402685)",55.40136283639013,36.0141259412665,0.36022762075241543,51.92827039227507,284.12299997407223
"(83.63636363636364, 932.8859060402685)",55.22573612030708,36.380137505194334,0.36388861408214557,53.39169169406244,286.0748677516976
"(84.84848484848484, 932.8859060402685)",55.04919951898935,36.74889793783692,0.36757710269059596,54.880121665333874,288.02737681783964
"(86.06060606060606, 932.8859060402685)",54.871783371863245,37.12038553198776,0.3712928694536868,56.39380627745994,289.98007864913376
"(87.27272727272728, 932.8859060402685)",54.69352097757211,37.49457639017866,0.37503567533972365,57.93298967010199,291.93250611662006
"(88.48484848484848, 932.8859060402685)",54.514448342689114,37.8714445298666,0.3788052604608105,59.497913882457894,293.8841747353452
"(89.6969696969697, 932.8859060402685)",54.33460392805086,38.250961993974315,0.3826013451791362,61.088818604625736,295.8345839450383
"(90.9090909090909, 932.8859060402685)",54.15402839398684,38.633098966022345,0.38642363125921037,62.705940949442486,297.78321841317666
"(92.12121212121211, 932.8859060402685)",53.97276434557185,39.01782388919562,0.39027180305479814,64.34951524511725,299.72954934962735
"(93.33333333333333, 932.8859060402685)",53.79085607927852,39.40510358803066,0.39414552873412045,66.01977284897264,301.673035835878
"(94.54545454545455, 932.8859060402685)",53.60834933165982,39.79490339291874,0.398044461517151,67.7169419825412,303.61312614419705
"(95.75757575757576, 932.8859060402685)",53.42529103142953,40.18718726578825,0.4019682409368322,69.44124758821592,305.5492590575537
"(96.96969696969697, 932.8859060402685)",53.24172905559614,40.581917926845506,0.4059164941056763,71.19291120765095,307.4808651728123
"(98.18181818181819, 932.8859060402685)",53.057711990536966,40.979056981504456,0.40988883698578604,72.97215088202192,309.40736818525505
"(99.39393939393939, 932.8859060402685)",52.87328889869208,41.37856504695419,0.41388487565465704,74.7791810742454,311.32818614721316
"(100.6060606060606, 932.8859060402685)",52.688509091539885,41.780401877734725,0.41790420756128116,76.61421261320352,313.2427326956427
"(101.81818181818183, 932.8859060402685)",52.50342190939371,42.18452648977803,0.4219464227664905,78.47745265998267,315.15041824298504
"(103.03030303030303, 932.8859060402685)",52.31807650978755,42.59089727823027,0.42601110525636354,80.3691046962396,317.05065121405926
"(104.24242424242425, 932.8859060402685)",52.13252165575661,42.999472157402565,0.43009783367034554,82.28936853430216,318.94283871521486
"(105.45454545454545, 932.8859060402685)",51.94680553153417,43.41020863601501,0.4342061833964516,84.23844034938354,320.82638845670226
"(106.66666666666666, 932.8859060402685)",51.76097554048998,43.823063971189846,0.438335726769169,86.21651273353862,322.70070888333714
"(107.87878787878788, 932.8859060402685)",51.575078130792114,44.23799525695148,0.44248603462587033,88.22377477103488,324.5652105510858
"(109.0909090909091, 932.8859060402685)",51.38915862187739,44.65495953322117,0.4466566772627019,90.26041213582334,326.41930692132814
"(110.30303030303031, 932.8859060402685)",51.203261040303204,45.073913886232965,0.45084722543913913,92.32660720983606,328.26241517969646
"(111.51515151515152, 932.8859060402685)",51.01742796427118,45.49481554409104,0.45505725133365155,94.42253922279403,330.09395698779366
"(112.72727272727273, 932.8859060402685)",50.831700376070216,45.917621967300654,0.459286329455672,96.54838441301358,331.91335917315024
"(113.93939393939394, 932.8859060402685)",50.646117522200285,46.34229093527807,0.46353403747893795,98.70431620911135,333.7200543249315
"(115.15151515151514, 932.8859060402685)",50.460716782592065,46.768780624410155,0.4677999570862054,100.89050543242523,335.51348137953823
"(116.36363636363637, 932.8859060402685)",50.27553354540711,47.197049684919435,0.4720836746741515,103.10712051999826,337.293086055217
"(117.57575757575758, 932.8859060402685)",50.09060109044187,47.62705730902823,0.4763847820671439,105.35432776795915,339.05832127454426
"(118.7878787878788, 932.8859060402685)",49.9059504787676,48.058763294834144,0.48070287714975785,107.63229159514839,340.8086474908673
"(120.0, 932.8859060402685)",49.72161044890802,48.49212810438767,0.48503756444767154,109.9411748268526,342.5435329464786
"(0.0, 942.9530201342282)",62.383443672066676,21.982167220047522,0.21987438511135315,3.8523696470234046,203.47884584388345
"(1.2121212121212122, 942.9530201342282)",62.382187849084296,21.985570135812367,0.2199084258361856,3.866675324223962,203.4966389709712
"(2.4242424242424243, 942.9530201342282)",62.37837593720187,21.995821280940735,0.22001096299033907,3.9095612034071063,203.55044081097302
"(3.6363636363636367, 942.9530201342282)",62.3718653436752,22.01305513171135,0.22018334798176953,3.980932362544706,203.6416206001306
"(4.848484848484849, 942.9530201342282)",62.36239995609301,22.037514690217606,0.22042798734944474,4.080625215646842,203.77261117762154
"(6.0606060606060606, 942.9530201342282)",62.349571406628655,22.069589615454337,0.22074881145907857,4.208396348844291,203.94736210753518
"(7.272727272727273, 942.9530201342282)",62.33279938401509,22.10983813242176,0.22115140243253997,4.3639075156634295,204.17147531502022
"(8.484848484848484, 942.9530201342282)",62.31137148834974,22.158942407630025,0.22164256903606835,4.546717388072145,204.45181247479766
"(9.696969696969697, 942.9530201342282)",62.28455231347401,22.217599848294636,0.2222292794142591,4.756297783814491,204.7954724021144
"(10.90909090909091, 942.9530201342282)",62.25168578167467,22.286418935076657,0.22291763204561932,4.9920474307060765,205.20880694788127
"(12.121212121212121, 942.9530201342282)",62.212262916040835,22.365851769538523,0.22371215072406436,5.253331651881347,205.6967165140988
"(13.333333333333332, 942.9530201342282)",62.165968951112944,22.45615735736003,0.22461541922749342,5.539504326935111,206.26228360234558
"(14.545454545454547, 942.9530201342282)",62.1126610732653,22.557416001610534,0.22562824756240818,5.8499297507202765,206.9069077158458
"(15.75757575757576, 942.9530201342282)",62.05237017327311,22.669538980588868,0.2267497511547044,6.183998767529547,207.63036389848367
"(16.96969696969697, 942.9530201342282)",61.98526023233679,22.7923043616441,0.2279776995706187,6.541137255350192,208.43112307801843
"(18.181818181818183, 942.9530201342282)",61.91334256473978,22.923250644995097,0.2292874760647885,6.920813036820842,209.28650499742602
"(19.393939393939394, 942.9530201342282)",61.8317678650598,23.06836915190327,0.230739013766552,7.322535805860655,210.2535140881028
"(20.606060606060606, 942.9530201342282)",61.74614634158407,23.220808677820337,0.23226375590965664,7.745861282552281,211.26794882017765
"(21.81818181818182, 942.9530201342282)",61.65517936511763,23.382217781638882,0.2338782481868861,8.190385542589562,212.34581492893727
"(23.030303030303028, 942.9530201342282)",61.55932243737229,23.55209787722232,0.23557747266949008,8.65574689203047,213.4827424372538
"(24.242424242424242, 942.9530201342282)",61.459026436011335,23.7299536202425,0.23735645360261448,9.141618611319167,214.67436616161598
"(25.454545454545457, 942.9530201342282)",61.35473324816646,23.915300462616905,0.2392103533596703,9.647711913859032,215.916413234018
"(26.666666666666664, 942.9530201342282)",61.2468622303968,24.107672547292797,0.24113453131538298,10.173767807208366,217.20476675528363
"(27.87878787878788, 942.9530201342282)",61.13580565837213,24.306631568486452,0.24312460911948214,10.719559600174478,218.53552483799493
"(29.090909090909093, 942.9530201342282)",61.02193195339192,24.51176335339122,0.24517641439479898,11.28488502119281,219.90495539806395
"(30.303030303030305, 942.9530201342282)",60.905573275937925,24.722685961607997,0.2472861404983363,11.869573621273483,221.3096393989698
"(31.51515151515152, 942.9530201342282)",60.78702855805723,24.93904886016945,0.24945030246717062,12.473470433702369,222.74644565111288
"(32.72727272727273, 942.9530201342282)",60.6665633843481,25.16053280610735,0.25166567524364186,13.096449105093981,224.21245943001796
"(33.93939393939394, 942.9530201342282)",60.54441233587801,25.386848918685132,0.25392937141514255,13.738402477487409,225.7050651992074
"(35.15151515151515, 942.9530201342282)",60.420774310541695,25.61773966618388,0.25623882901913175,14.399242763295133,227.22193493595324
"(36.36363636363637, 942.9530201342282)",60.29582103082499,25.852975025124145,0.2585917336134221,15.078902524856431,228.76095366766572
"(37.57575757575758, 942.9530201342282)",60.169692191037335,26.09235344984199,0.26098609728617406,15.777331519890211,230.32029712915306
"(38.78787878787879, 942.9530201342282)",60.04250254139018,26.33569801557302,0.2634201384685056,16.494498060144025,231.8983170729099
"(40.0, 942.9530201342282)",59.9143420586269,26.582858394081065,0.2658923290649239,17.23038683797764,233.49358788431636
"(41.21212121212121, 942.9530201342282)",59.78535644381908,26.83360215551086,0.26840036819383073,17.98499917309569,235.10393862041585
"(42.42424242424242, 942.9530201342282)",59.65537805585463,27.08809539896941,0.2709459143043556,18.75835211433583,236.7309160719861
"(43.63636363636364, 942.9530201342282)",59.52464776207921,27.34597296746501,0.27352530475237236,19.55047920308072,238.37103299630397
"(44.84848484848485, 942.9530201342282)",59.39311446461471,27.607244307490177,0.2761386407761737,20.361427507490582,240.02433778816317
"(46.060606060606055, 942.9530201342282)",59.26077969065877,27.871844748817086,0.2787852839529604,21.191259347264534,241.69016612515787
"(47.27272727272727, 942.9530201342282)",59.12763711989592,28.13972120179637,0.2814646904754425,22.040050399447008,243.36792954551723
"(48.484848484848484, 942.9530201342282)",58.99366934893657,28.410831570698857,0.28417645022291604,22.907890923414847,245.057151065308
"(49.696969696969695, 942.9530201342282)",58.85885386623717,28.685140092093608,0.28692018734675007,23.794882846431612,246.7573743496649
"(50.909090909090914, 942.9530201342282)",58.72315293848955,28.962632071593042,0.28969577284365405,24.70114084494775,248.4683630780952
"(52.121212121212125, 942.9530201342282)",58.58653986794204,29.24327900193555,0.29250291513352267,25.62678824769304,250.18971897552794
"(53.33333333333333, 942.9530201342282)",58.44897375801299,29.527071887961444,0.29534152450341,26.571975575631843,251.9212069259058
"(54.54545454545455, 942.9530201342282)",58.31041679997828,29.814002322313684,0.29821149690798515,27.536839280763655,253.66259236736994
"(55.75757575757576, 942.9530201342282)",58.17082409064691,30.10406685923975,0.3011128456781412,28.52154183998443,255.4137253934306
"(56.96969696969697, 942.9530201342282)",58.03015873670614,30.397263002788698,0.30404551049824546,29.52625256074298,257.1743798218307
"(58.18181818181819, 942.9530201342282)",57.888379996380955,30.693591429226565,0.3070095109631397,30.55114945883961,258.94439611378544
"(59.3939393939394, 942.9530201342282)",57.74544894939706,30.993054232326585,0.31000486313538556,31.596418224389815,260.72360372542005
"(60.60606060606061, 942.9530201342282)",57.601331479392464,31.295653693903244,0.31303157514139945,32.6622513440447,262.51181783291247
"(61.81818181818181, 942.9530201342282)",57.45599189282624,31.601393159978063,0.3160897104949852,33.74885519585245,264.3088919487477
"(63.03030303030304, 942.9530201342282)",57.309401135266654,31.91027553468896,0.31917927586852196,34.8564360576926,266.1146260867862
"(64.24242424242425, 942.9530201342282)",57.1615316856462,32.22230318858533,0.3223003060670471,35.985206321569834,267.9288406745383
"(65.45454545454545, 942.9530201342282)",57.01236065052787,32.537477633055836,0.3254528008502166,37.135387236867146,269.7513142359881
"(66.66666666666667, 942.9530201342282)",56.861868710434074,32.85579939077085,0.3286367855092633,38.307204657194276,271.5818447659701
"(67.87878787878788, 942.9530201342282)",56.71004027255728,33.17726756907262,0.3318522315121105,39.50088629958572,273.42017764304194
"(69.0909090909091, 942.9530201342282)",56.556864208109616,33.50187973667106,0.33509913354412757,40.716671631445784,275.2660683883524
"(70.3030303030303, 942.9530201342282)",56.40233375004015,33.829631644476365,0.33837744110555495,41.954792557467975,277.119237478307
"(71.51515151515152, 942.9530201342282)",56.24644652883114,34.16051729841445,0.34168708898897276,43.21549161559941,278.9793808874252
"(72.72727272727273, 942.9530201342282)",56.0892043866196,34.494528693361126,0.34502800414761564,44.49901174801632,280.84618679386284
"(73.93939393939394, 942.9530201342282)",55.9306126950393,34.83165575042535,0.34840008329828864,45.805597831570275,282.7193129295677
"(75.15151515151516, 942.9530201342282)",55.77068204009244,35.17188626741575,0.3518032043359185,47.13549665860494,284.5983973628484
"(76.36363636363636, 942.9530201342282)",55.60942646286149,35.51520594496974,0.3552372243869475,48.48895615134734,286.48305744842526
"(77.57575757575758, 942.9530201342282)",55.446864076644914,35.86159830460449,0.3587019786267575,49.86622492617356,288.3728891480508
"(78.78787878787878, 942.9530201342282)",55.283016795137165,36.21104470825757,0.36219728063059553,51.267551929876554,290.2674677251481
"(80.0, 942.9530201342282)",55.11791017340578,36.56352437484728,0.36572292253781263,52.69318604651392,292.1663482928329
"(81.21212121212122, 942.9530201342282)",54.95157323317195,36.91901441103405,0.36927867535918946,54.14337572208,294.0690664790349
"(82.42424242424242, 942.9530201342282)",54.78403827462094,37.27748985467512,0.3728642894147564,55.61836860749408,295.97513919635344
"(83.63636363636364, 942.9530201342282)",54.61534067647244,37.63892373010643,0.37647949488180993,57.11841122032465,297.88406549708674
"(84.84848484848484, 942.9530201342282)",54.44551868647063,38.003287113446426,0.3801240024532611,58.64374862583236,299.795327512981
"(86.06060606060606, 942.9530201342282)",54.274613203766535,38.3705492074246,0.3837975040820029,60.19462413751639,301.708391456587
"(87.27272727272728, 942.9530201342282)",54.10266755503568,38.7406774241806,0.38749967381153455,61.771279037794805,303.62270868381995
"(88.48484848484848, 942.9530201342282)",53.929727265740134,39.11363747536707,0.39123016867607086,63.373952318973515,305.53771680175095
"(89.6969696969697, 942.9530201342282)",53.75583982804531,39.489393468417845,0.39498862966419734,65.00288044495998,307.4528408155751
"(90.9090909090909, 942.9530201342282)",53.581054466745755,39.867908008210925,0.39877468273424305,66.65829713393042,309.3674943033927
"(92.12121212121211, 942.9530201342282)",53.40542190448458,40.249142303082365,0.40258793987695385,68.34043316222952,311.28108061436114
"(93.33333333333333, 942.9530201342282)",53.228994127450555,40.633056274552196,0.40642800021177306,70.04951618971279,313.1929940770933
"(94.54545454545455, 942.9530201342282)",53.0518241526182,41.019608669878664,0.41029445111197993,71.78577060670769,315.10262121364923
"(95.75757575757576, 942.9530201342282)",52.87396579765819,41.408757176590235,0.41418686935129595,73.54941740272426,317.00934195202126
"(96.96969696969697, 942.9530201342282)",52.695473454341645,41.800458538376226,0.4181048222632996,75.34067405701099,318.912530828852
"(98.18181818181819, 942.9530201342282)",52.516401866326056,42.194668671631625,0.4220478689058169,77.15975445104804,320.81155817490685
"(99.39393939393939, 942.9530201342282)",52.336805912105056,42.59134278185998,0.4260155612267874,79.0068688029482,322.70579128002913
"(100.6060606060606, 942.9530201342282)",52.1567403937244,42.990435479476865,0.43000744522131096,80.88222362381474,324.59459552782414
"(101.81818181818183, 942.9530201342282)",51.976259831903114,43.391900894260935,0.4340230620772183,82.78602169594602,326.4773354976726
"(103.03030303030303, 942.9530201342282)",51.79541826798177,43.79569278799355,0.4380619493015276,84.71846207298694,328.35337602677566
"(104.24242424242425, 942.9530201342282)",51.614269073197654,44.20176466474158,0.44212364182333086,86.67974010157263,330.2220832284809
"(105.45454545454545, 942.9530201342282)",51.43286476539852,44.61006987826982,0.4462076730684583,88.67004746477525,332.0828254621938
"(106.66666666666666, 942.9530201342282)",51.25125683368328,45.0205617362073,0.45031357600122873,90.68957224698484,333.9349742508181
"(107.87878787878788, 942.9530201342282)",51.06949557081471,45.43319360051395,0.454440884129374,92.7384990197897,335.7779051424724
"(109.0909090909091, 942.9530201342282)",50.8876299138717,45.847918983943835,0.45858913246899974,94.81700894957928,337.61099851279965
"(110.30303030303031, 942.9530201342282)",50.705707292583085,46.264691642208234,0.46275785846628964,96.9252799255173,339.43364030611826
"(111.51515151515152, 942.9530201342282)",50.52377348594564,46.68346566141585,0.46694660287224743,99.06348670855279,341.24522271125096
"(112.72727272727273, 942.9530201342282)",50.341872486267974,47.104195540864346,0.4711549105707492,101.23180110094619,343.04514477281396
"(113.93939393939394, 942.9530201342282)",50.16004637106787,47.52683627069361,0.47538233135523494,103.43039213617274,344.8328129336964
"(115.15151515151514, 942.9530201342282)",49.97833518223651,47.95134340442725,0.47962842065437994,105.65942628902381,346.6076415092337
"(116.36363636363637, 942.9530201342282)",49.796776812288776,48.37767312624754,0.4838927402049308,107.91906770573286,348.36905309153406
"(117.57575757575758, 942.9530201342282)",49.61540689738087,48.80578231292106,0.48817485867114435,110.20947845393957,350.11647888361597
"(118.7878787878788, 942.9530201342282)",49.43425871672977,49.23562859034342,0.49247435221036306,112.53081879237122,351.84935896303824
"(120.0, 942.9530201342282)",49.2533630980727,49.66717038468117,0.4967908049845624,114.88324746005935,353.5671424750481
"(0.0, 953.020134228188)",60.754215899038854,24.09730638874443,0.24103084886887535,6.174620754887224,223.53263118726247
"(1.2121212121212122, 953.020134228188)",60.75350721877944,24.100199390467324,0.24105978567405253,6.18924082844769,223.5455884716561
"(2.4242424242424243, 953.020134228188)",60.75135153599996,24.10890849080213,0.2411468887044696,6.233073691068504,223.58476655077502
"(3.6363636363636367, 953.020134228188)",60.74764825661446,24.123531413767513,0.24129316473030274,6.3060357214756,223.6512085181418
"(4.848484848484849, 953.020134228188)",60.742230125276706,24.14423673504922,0.24150024863372674,6.407983816115277,223.74661555293974
"(6.0606060606060606, 953.020134228188)",60.734819743741646,24.17129792352791,0.24177094339393057,6.5387073524725094,223.87386957328684
"(7.272727272727273, 953.020134228188)",60.73102160864522,24.196911093891057,0.24202713477185245,6.697923340879438,223.95880912625515
"(8.484848484848484, 953.020134228188)",60.73915568358828,24.209070302203514,0.24214410819224355,6.885297524171628,223.88291296776518
"(9.696969696969697, 953.020134228188)",60.69627807442786,24.29501802027678,0.24300844230234156,7.10016931575646,224.49176898580396
"(10.90909090909091, 953.020134228188)",60.676202050785086,24.35221645622044,0.24358056095846603,7.342207186804026,224.7949717132106
"(12.121212121212121, 953.020134228188)",60.65166556139426,24.41820750949233,0.24424063504759935,7.6107495777361915,225.15549321930482
"(13.333333333333332, 953.020134228188)",60.6222933535301,24.493328375598878,0.2449920149311164,7.905181225069773,225.57714172941704
"(14.545454545454547, 953.020134228188)",60.58781875400804,24.577791559870914,0.24583686123254328,8.22488209692943,226.06259639314538
"(15.75757575757576, 953.020134228188)",60.54809832677362,24.671681387284657,0.24677597120717779,8.569244131619076,226.61322507253698
"(16.96969696969697, 953.020134228188)",60.50308394715497,24.774974989562097,0.24780916443155995,8.937682300975633,227.22944084856474
"(18.181818181818183, 953.020134228188)",60.45282844891592,24.887549938256544,0.24893517921185013,9.329642681059765,227.9105952255357
"(19.393939393939394, 953.020134228188)",60.39744906864525,25.00921204827911,0.25015208759572644,9.744606867602618,228.65536923033804
"(20.606060606060606, 953.020134228188)",60.337127540618,25.139705338430907,0.2514573351128199,10.182095039743304,229.46180822213876
"(21.81818181818182, 953.020134228188)",60.27208280274991,25.278733817318972,0.2528479565694141,10.6416648167876,230.32752869231848
"(23.030303030303028, 953.020134228188)",60.202570492464154,25.425969425020735,0.25432066331020964,11.12291314033732,231.24979954456052
"(24.242424242424242, 953.020134228188)",60.12885806403496,25.581070372301106,0.25587204689532894,11.625471273896252,232.22574120353133
"(25.454545454545457, 953.020134228188)",60.051224510966584,25.74368512571766,0.25749859341604325,12.149011821061274,233.2523322398659
"(26.666666666666664, 953.020134228188)",59.9699484492794,25.9134652076823,0.25919678535600676,12.693232156883624,234.3265230146128
"(27.87878787878788, 953.020134228188)",59.88527768803183,26.09010075317425,0.26096357141061344,13.257866003603068,235.4456718508071
"(29.090909090909093, 953.020134228188)",59.79754579127037,26.27316411440591,0.2627946476863377,13.842676929925066,236.6059134825579
"(30.303030303030305, 953.020134228188)",59.706924122931255,26.462439367215676,0.2646878500773048,14.447454294444407,237.80539611479907
"(31.51515151515152, 953.020134228188)",59.61366789804299,26.657596816275902,0.2666398990406311,15.072015102563759,239.04117727172897
"(32.72727272727273, 953.020134228188)",59.517981516773965,26.858362036326714,0.2686480206548394,15.716201210351159,240.31077149426093
"(33.93939393939394, 953.020134228188)",59.42005160903234,27.064480719509646,0.27070969882733237,16.379877836977148,241.6119156763195
"(35.15151515151515, 953.020134228188)",59.32004430791543,27.27571933478568,0.27282259349523,17.062932999501527,242.94249167380497
"(36.36363636363637, 953.020134228188)",59.21810156139244,27.491867284740547,0.27498458939203413,17.76527617427879,244.3005741188007
"(37.57575757575758, 953.020134228188)",59.11434429635985,27.712734500834905,0.277193804870763,18.486837802115957,245.68443932304075
"(38.78787878787879, 953.020134228188)",59.008877899304146,27.938149843261495,0.2794485007014778,19.227568227208074,247.09247942118017
"(40.0, 953.020134228188)",58.90178670735331,28.167961854288365,0.2817471640388414,19.987436964664106,248.52328312604382
"(41.21212121212121, 953.020134228188)",58.79313488203764,28.402037866484108,0.28408848646441326,20.76643110965633,249.97561639334157
"(42.42424242424242, 953.020134228188)",58.682975810880905,28.640260362516518,0.28647128274527245,21.564557388977715,251.44834294544304
"(43.63636363636364, 953.020134228188)",58.57134692897959,28.882527305292598,0.2888945327253473,22.381836774473584,252.94046958122655
"(44.84848484848485, 953.020134228188)",58.45827309524946,29.128750409720425,0.29135735355964765,23.218311039893234,254.4511131578918
"(46.060606060606055, 953.020134228188)",58.343767645303245,29.378854194462562,0.29385899219698486,24.074032541845373,255.9795036458852
"(47.27272727272727, 953.020134228188)",58.227835666918494,29.632773772617192,0.2963987974551404,24.94907247392237,257.52494926184903
"(48.484848484848484, 953.020134228188)",58.11047601428465,29.890453537615585,0.29897620636351624,25.843515034352446,259.08682928524024
"(49.696969696969695, 953.020134228188)",57.99167892170171,30.15184697872758,0.301590778802272,26.757458512954422,260.6646259831706
"(50.909090909090914, 953.020134228188)",57.871429997326715,30.416915071663993,0.3042420899042347,27.691015269556225,262.2578220888419
"(52.121212121212125, 953.020134228188)",57.74971243692334,30.685624458499394,0.3069298215913064,28.64430875882532,263.8659910127553
"(53.33333333333333, 953.020134228188)",57.62650559161274,30.957947660150115,0.3096537137969461,29.617474888243613,265.4887489987789
"(54.54545454545455, 953.020134228188)",57.50178730909401,31.23386148727409,0.31241351310532833,30.610661237931343,267.12570695640846
"(55.75757575757576, 953.020134228188)",57.375536024611364,31.513345580454434,0.31520902196737843,31.624025343421863,268.776519081865
"(56.96969696969697, 953.020134228188)",57.24772706944063,31.796383987801175,0.3180400917499938,32.657735066853945,270.44087586267045
"(58.18181818181819, 953.020134228188)",57.11833958231796,32.082961695036204,0.32090655569275217,33.71196750732082,272.11844127369136
"(59.3939393939394, 953.020134228188)",56.987352847391485,32.37306570794348,0.32380828733353884,34.78690832659645,273.80890913221236
"(60.60606060606061, 953.020134228188)",56.86218373569098,32.656399834744334,0.32664230790975557,35.88276732313993,275.41392880562046
"(61.81818181818181, 953.020134228188)",56.72083593961236,32.963353295961205,0.32971257865675635,36.9996966889186,277.22302927926535
"(63.03030303030304, 953.020134228188)",56.584569306724056,33.26449192039964,0.33272468696652896,38.137953310251454,278.95537252362186
"(64.24242424242425, 953.020134228188)",56.44707538520759,33.56851295425792,0.33576562645500063,39.297734879458964,280.69366751389737
"(65.45454545454545, 953.020134228188)",56.30786283341809,33.87607557568141,0.3388419900139721,40.47926107895063,282.4439777263114
"(66.66666666666667, 953.020134228188)",56.16698080226543,34.18709437032874,0.3419529013486593,41.68275645738329,284.20524348563436
"(67.87878787878788, 953.020134228188)",56.0244255612085,34.50155587325457,0.34509829488028226,42.90845015077903,285.97717315794637
"(69.0909090909091, 953.020134228188)",55.88020404264462,34.819445120493654,0.3482779493700659,44.15657541079009,287.75932264658815
"(70.3030303030303, 953.020134228188)",55.734321892575295,35.14074600745202,0.35149173112028975,45.42736717013941,289.55132960221727
"(71.51515151515152, 953.020134228188)",55.58679114269524,35.4654408686784,0.35473945506369425,46.72106775310536,291.3527753277308
"(72.72727272727273, 953.020134228188)",55.43762525590195,35.793510411369724,0.3580209390668003,48.03791606691113,293.16324733903286
"(73.93939393939394, 953.020134228188)",55.2868438776772,36.124933742959314,0.3613359643317929,49.37815677641752,294.9822924525395
"(75.15151515151516, 953.020134228188)",55.134468652615034,36.45968818418068,0.36468430892135834,50.74203406140395,296.809454977743
"(76.36363636363636, 953.020134228188)",54.98052479470459,36.79774923760872,0.368065732833205,52.12979508191298,298.64425902758444
"(77.57575757575758, 953.020134228188)",54.825042534845785,37.13909056374048,0.3714799646256563,53.5416851085652,300.4862006420603
"(78.78787878787878, 953.020134228188)",54.66805422399037,37.483684051184895,0.37492672583011794,54.97795112718206,302.334767449172
"(80.0, 953.020134228188)",54.5095957278447,37.83149976467753,0.3784057170223629,56.4388394526194,304.1894277767466
"(81.21212121212122, 953.020134228188)",54.34970595084854,38.18250598412075,0.3819166209245614,57.9245957665625,306.049633570939
"(82.42424242424242, 953.020134228188)",54.18842665722995,38.53666924168507,0.38545910277802137,59.43546476448064,307.9148211045062
"(83.63636363636364, 953.020134228188)",54.025802280829964,38.893954370418896,0.3890328108297616,60.971689822502285,309.78441177364635
"(84.84848484848484, 953.020134228188)",53.86187972539397,39.25432456328825,0.3926373769208317,62.533512684640336,311.65781297145435
"(86.06060606060606, 953.020134228188)",53.69670815716578,39.61774144132277,0.3962724171694592,64.12117317047085,313.53441903129567
"(87.27272727272728, 953.020134228188)",53.53033879125702,39.98416513002731,0.3999375327351012,65.73490890376785,315.4136122263286
"(88.48484848484848, 953.020134228188)",53.36282467337387,40.35355434299053,0.4036323106548396,67.3749550621602,317.2947638169488
"(89.6969696969697, 953.020134228188)",53.194220458246505,40.725866471798966,0.4073563247416303,69.04154414816571,319.17723513580415
"(90.9090909090909, 953.020134228188)",53.024582186235264,41.10105768119269,0.4111091365384958,70.73490578172246,321.0603787046292
"(92.12121212121211, 953.020134228188)",52.85396705922239,41.47908300884342,0.41489029631436564,72.45526651440952,322.94353936907993
"(93.33333333333333, 953.020134228188)",52.68243321706298,41.859896468706296,0.41869934409778803,74.20284966546892,324.82605544785923
"(94.54545454545455, 953.020134228188)",52.510039515716116,42.243451157116624,0.4225358107403625,75.97787517974581,326.70725988825075
"(95.75757575757576, 953.020134228188)",52.33684530793977,42.6296993610872,0.426399218997531,77.78055950758066,328.5864814162409
"(96.96969696969697, 953.020134228188)",52.16291022760336,43.018592667783636,0.4302890846249722,79.61111550669389,330.46304567952126
"(98.18181818181819, 953.020134228188)",51.988293978366606,43.41008207465494,0.43420491747945467,81.46975236603943,332.33627637276976
"(99.39393939393939, 953.020134228188)",51.813056127499344,43.804118099441716,0.43814622261976816,83.35667555160504,334.2054963410599
