T_mu,sigma,omega,n_B,P,epsilon
"(25.454545454545457, 500.0)",92.99999730705777,4.1541416435758947e-7,4.155137800705863e-9,1.0577513377332524e-7,1.9717937665796064e-6
"(26.666666666666664, 500.0)",92.99999367348312,9.778642480517945e-7,9.780987384625943e-9,2.60826394153248e-7,4.629667298159724e-6
"(27.87878787878788, 500.0)",92.99998615832872,2.1435143310105772e-6,2.1440283426198537e-8,5.977291133538199e-7,1.0122412599745447e-5
"(29.090909090909093, 500.0)",92.9999715373164,4.4140522833836395e-6,4.415110770779941e-8,1.2843919295488566e-6,2.0791161924350848e-5
"(30.303030303030305, 500.0)",92.99994466151384,8.602387620142974e-6,8.604450460100797e-8,2.6073936013055136e-6,4.041485869919847e-5
"(31.51515151515152, 500.0)",92.99989747840037,1.5965736978735407e-5,1.5969565551613465e-7,5.03278592909358e-6,7.481504182897374e-5
"(32.72727272727273, 500.0)",92.99981819850018,2.837046935412256e-5,2.8377272550817746e-7,9.286958813404192e-6,0.00013259940394068454
"(33.93939393939394, 500.0)",92.99968987888845,4.848898041775714e-5,4.850060800396156e-7,1.6460358446389488e-5,0.0002260426815734183
"(35.15151515151515, 500.0)",92.99948915916521,8.00273640167617e-5,8.004655451058178e-7,2.8136323855098246e-5,0.00037209644869781066
"(36.36363636363637, 500.0)",92.99918470784576,0.00012796914147383094,1.2799982828410905e-6,4.654220040605138e-5,0.0005934569410144939
"(37.57575757575758, 500.0)",92.99873543069175,0.00019890058791780798,1.9894828398430183e-6,7.4748643497085e-5,0.000919992776424424
"(38.78787878787879, 500.0)",92.99808885543025,0.00030126845084014217,3.0134069456863266e-6,0.00011686613100403877,0.0013898373418391246
"(40.0, 500.0)",92.99717929014547,0.00044565913836888904,4.457660067711459e-6,0.00017826821225153594,0.002050561821604194
"(41.21212121212121, 500.0)",92.99592610061273,0.000645214591830066,6.4536931333240605e-6,0.0002658907440654245,0.0029609558225966058
"(42.42424242424242, 500.0)",92.99423207890368,0.0009159412150309043,9.161608563775584e-6,0.00038851469176820296,0.0041922895901195896
"(43.63636363636364, 500.0)",92.99198198774593,0.0012769743221995216,1.2772805391863899e-5,0.0005570504101996694,0.00582935228573228
"(44.84848484848485, 500.0)",92.98904143310774,0.0017509662360896555,1.7513861157304554e-5,0.0007848941495712823,0.007972036429080995
"(46.060606060606055, 500.0)",92.9852559871364,0.0023643936873265783,2.364960666057467e-5,0.001088272539777168,0.010736530790510167
"(47.27272727272727, 500.0)",92.98045090297323,0.003147873409467768,3.1486282648420636e-5,0.0014866090524094367,0.014256532271800881
"(48.484848484848484, 500.0)",92.97443128751091,0.004136469507585372,4.137461426837193e-5,0.0020029043916925363,0.018684402742493427
"(49.696969696969695, 500.0)",92.96698302920296,0.0053699921720251126,5.371279889023384e-5,0.002664128497111637,0.024192270948005284
"(50.909090909090914, 500.0)",92.95787439500157,0.006893287756028117,6.894940756205651e-5,0.00350162280418968,0.030973080976838572
"(52.121212121212125, 500.0)",92.94685834629846,0.008756520243995264,8.75862004455915e-5,0.004551510764932192,0.03924158945786356
"(53.33333333333333, 500.0)",92.93367574140889,0.011015443539762389,0.00011018085026781604,0.005855115533932632,0.04923530959997539
"(54.54545454545455, 500.0)",92.91805913852234,0.01373166404530024,0.0001373495687796693,0.007459383383059098,0.061215401006775555
"(55.75757575757576, 500.0)",92.8997371754967,0.016972890245912864,0.00016976960331374855,0.009417310982402836,0.07546749067447144
"(56.96969696969697, 500.0)",92.87843953330523,0.02081316731356897,0.00020818158280213694,0.011788375711157612,0.09230241568991085
"(58.18181818181819, 500.0)",92.85390148658837,0.02533309249642342,0.0002533916733466864,0.014638966492416106,0.1120568701809271
"(59.3939393939394, 500.0)",92.82586900886031,0.030620004270873486,0.00030627346902621313,0.018042813221172793,0.1350939212919338
"(60.60606060606061, 500.0)",92.79410288085937,0.03676814183840153,0.0003677695878426759,0.022081412195489147,0.16180338172584882
"(61.81818181818181, 500.0)",92.75838230664992,0.0438787678022871,0.0004388928986574877,0.026844444594494428,0.19260200473424943
"(63.03030303030304, 500.0)",92.718507581373,0.05206024925278652,0.0005207273322333961,0.03243018488876432,0.2279334812279337
"(64.24242424242425, 500.0)",92.67430173787977,0.0614280927895785,0.0006144282315510397,0.03894589577805135,0.2682682199974685
"(65.45454545454545, 500.0)",92.62561115565344,0.07210493020037088,0.0007212222086311282,0.046508206272069155,0.31410289804349495
"(66.66666666666667, 500.0)",92.57230524716198,0.08422045239525129,0.0008424064833479166,0.05524346957943317,0.3659597720945251
"(67.87878787878788, 500.0)",92.51427523912919,0.09791129141579714,0.0009793477039822351,0.06528809770829763,0.42438575428281994
"(69.0909090909091, 500.0)",92.45143245384922,0.11332084942345902,0.0011334802359503457,0.07678886995566873,0.4899512480195042
"(70.3030303030303, 500.0)",92.3837060557564,0.13059907393424666,0.0013063039145023107,0.08990321090477234,0.5632487463463831
"(71.51515151515152, 500.0)",92.31104075111199,0.14990218689663798,0.00149938133228172,0.10479944161092832,0.6448912245299318
"(72.72727272727273, 500.0)",92.23339409872833,0.17139235930166474,0.0017143345893515785,0.12165699163340961,0.7355103030423796
"(73.93939393939394, 500.0)",92.15073431604722,0.195237340273813,0.0019528415789836831,0.14066658079542352,0.835754208696418
